"","Date","Price"
"1","2015-01-02",39.02
"2","2015-01-05",39.77
"3","2015-01-06",39.78
"4","2015-01-07",39
"5","2015-01-08",38.61
"6","2015-01-09",38.79
"7","2015-01-12",38.84
"8","2015-01-13",37.69
"9","2015-01-14",37.24
"10","2015-01-15",37
"11","2015-01-16",37.34
"12","2015-01-20",37.68
"13","2015-01-21",37.52
"14","2015-01-22",37.34
"15","2015-01-23",37.41
"16","2015-01-26",37.09
"17","2015-01-27",36.86
"18","2015-01-28",36.19
"19","2015-01-29",36.21
"20","2015-01-30",35.93
"21","2015-02-02",35.67
"22","2015-02-03",36.91
"23","2015-02-04",36.82
"24","2015-02-05",37.15
"25","2015-02-06",37.27
"26","2015-02-09",37.62
"27","2015-02-10",37.26
"28","2015-02-11",37.08
"29","2015-02-12",36.81
"30","2015-02-13",37.35
"31","2015-02-17",37.52
"32","2015-02-18",37
"33","2015-02-19",37.26
"34","2015-02-20",36.7
"35","2015-02-23",36.26
"36","2015-02-24",36.22
"37","2015-02-25",35.99
"38","2015-02-26",36.37
"39","2015-02-27",36.77
"40","2015-03-02",36.32
"41","2015-03-03",36.55
"42","2015-03-04",36.32
"43","2015-03-05",36.02
"44","2015-03-06",35.73
"45","2015-03-09",36.12
"46","2015-03-10",36.11
"47","2015-03-11",36.36
"48","2015-03-12",36.39
"49","2015-03-13",35.69
"50","2015-03-16",36
"51","2015-03-17",35.23
"52","2015-03-18",35.72
"53","2015-03-19",35.64
"54","2015-03-20",36.61
"55","2015-03-23",37.04
"56","2015-03-24",37.06
"57","2015-03-25",37
"58","2015-03-26",36.37
"59","2015-03-27",36.53
"60","2015-03-30",37.26
"61","2015-03-31",35.67
"62","2015-04-01",36.27
"63","2015-04-02",36.73
"64","2015-04-06",36.43
"65","2015-04-07",36.3
"66","2015-04-08",35.94
"67","2015-04-09",35.85
"68","2015-04-10",35.88
"69","2015-04-13",34.96
"70","2015-04-14",35.05
"71","2015-04-15",34.98
"72","2015-04-16",35.06
"73","2015-04-17",35.19
"74","2015-04-20",35.27
"75","2015-04-21",35.09
"76","2015-04-22",35.02
"77","2015-04-23",34.92
"78","2015-04-24",34.22
"79","2015-04-27",33.6
"80","2015-04-28",33.66
"81","2015-04-29",33.96
"82","2015-04-30",33.67
"83","2015-05-01",33.46
"84","2015-05-04",33.29
"85","2015-05-05",33.17
"86","2015-05-06",33.68
"87","2015-05-07",33.24
"88","2015-05-08",33.6
"89","2015-05-11",33.31
"90","2015-05-12",33.28
"91","2015-05-13",33.42
"92","2015-05-14",34.39
"93","2015-05-15",34.2
"94","2015-05-18",34.55
"95","2015-05-19",34.03
"96","2015-05-20",33.79
"97","2015-05-21",34.2
"98","2015-05-22",33.95
"99","2015-05-26",33.17
"100","2015-05-27",32.7
"101","2015-05-28",32.96
"102","2015-05-29",32.61
"103","2015-06-01",32.98
"104","2015-06-02",33.62
"105","2015-06-03",33.61
"106","2015-06-04",34.14
"107","2015-06-05",33.77
"108","2015-06-08",34.31
"109","2015-06-09",34.46
"110","2015-06-10",33.71
"111","2015-06-11",33.47
"112","2015-06-12",33.22
"113","2015-06-15",32.55
"114","2015-06-16",32.8
"115","2015-06-17",33.3
"116","2015-06-18",33.15
"117","2015-06-19",32.85
"118","2015-06-22",33.42
"119","2015-06-23",34.19
"120","2015-06-24",34.02
"121","2015-06-25",34.93
"122","2015-06-26",35.79
"123","2015-06-29",36.02
"124","2015-06-30",38.11
"125","2015-07-01",37.77
"126","2015-07-02",37.92
"127","2015-07-06",38.09
"128","2015-07-07",37.65
"129","2015-07-08",37.55
"130","2015-07-09",37.82
"131","2015-07-10",38.03
"132","2015-07-13",38.36
"133","2015-07-14",37.51
"134","2015-07-15",37.61
"135","2015-07-16",37.43
"136","2015-07-17",36.81
"137","2015-07-20",35.72
"138","2015-07-21",35.53
"139","2015-07-22",35.11
"140","2015-07-23",35.22
